agent_id,name,experience_years,joining_date,region_id,performance_rating,languages_known,specialisation,product_wise_conversion_rate,median_ticket_size,sales_cycle_efficiency,drop_off_rate_after_first_call,upsell_conversion_percentage,sla_adherence
AGT0202,Vinod Balaji,1,27-08-2021,RGN003,1.7,Telugu|English,Endowment,0.157,32267,0.71,0.25,0.27,0.87
AGT0203,Vijay More,2,19-04-2007,RGN024,2,Oriya|Hindi,Mixed,0.135,32965,0.88,0.12,0.16,0.93
AGT0204,Tanvi Dubey,18,10-03-2018,RGN006,4,Tamil|Telugu,Endowment,0.375,86085,0.49,0.18,0.13,0.99
AGT0205,Manoj Mishra,7,11-10-2008,RGN014,2.1,Oriya|Hindi,Mixed,0.201,49827,0.92,0.38,0.41,0.88
AGT0206,Aryan Singh,1,18-09-2019,RGN007,1.4,Hindi|Telugu|English,Mixed,0.173,27543,0.86,0.52,0.32,0.93
AGT0207,Vishal Nair,1,19-03-2019,RGN032,1.5,Oriya|Hindi,Mixed,0.103,24237,0.78,0.58,0.23,0.89
AGT0208,Suresh Dubey,10,29-03-2019,RGN032,3.1,Tamil|Telugu,ULIP,0.273,57511,0.52,0.34,0.13,0.73
AGT0209,Ravi Tiwari,1,14-02-2024,RGN018,2,Hindi|English,Mixed,0.123,32275,0.43,0.44,0.38,0.8
AGT0210,Tanvi Singh,2,16-07-2009,RGN002,2.1,Oriya|Hindi,Mixed,0.138,33009,0.49,0.61,0.16,0.95
AGT0211,Varun Agarwal,5,08-11-2011,RGN042,2,Telugu|English,Endowment,0.13,45249,0.79,0.1,0.24,0.75
AGT0212,Zara Rao,10,15-09-2012,RGN009,3.2,Tamil|Telugu,Mixed,0.221,61396,0.78,0.36,0.14,0.87
AGT0213,Neha Singh,7,29-01-2008,RGN006,2.5,Tamil|English,WholLife,0.211,45902,0.44,0.41,0.29,0.76
AGT0214,Prakash Malhotra,2,26-05-2020,RGN011,1.3,Telugu|English,Endowment,0.189,36093,0.48,0.17,0.34,0.92
AGT0215,Isha Naik,10,22-11-2006,RGN023,2.8,Oriya|Hindi,Endowment,0.225,60561,0.83,0.48,0.39,0.81
AGT0216,Kunal More,2,15-10-2013,RGN043,1.3,Kannada|English,Mixed,0.131,38252,0.67,0.16,0.25,0.78
AGT0217,Neha Shetty,3,18-12-2007,RGN039,1.8,Tamil|English,ULIP,0.194,34185,0.82,0.62,0.36,0.7
AGT0218,Nikhil Rajan,12,14-09-2022,RGN002,2.7,Tamil|Telugu,Endowment,0.257,56990,0.63,0.32,0.31,0.73
AGT0219,Bhavna Hegde,7,15-02-2023,RGN035,2.2,Telugu|English,WholLife,0.163,44329,0.57,0.34,0.43,0.8
AGT0220,Akash Pandey,15,28-08-2018,RGN016,3.5,Tamil|English,Mixed,0.315,75031,0.47,0.49,0.33,0.52
AGT0221,Deepa Chaudhary,7,25-10-2010,RGN011,2,Oriya|Hindi,Mixed,0.257,52809,0.8,0.16,0.41,0.82
AGT0222,Amrita Balaji,7,28-01-2019,RGN022,2.3,Hindi|Telugu|English,ULIP,0.181,50447,0.43,0.57,0.12,0.8
AGT0223,Vijay Rajan,1,15-02-2010,RGN011,1.1,Hindi|English,Mixed,0.146,24889,0.53,0.36,0.2,0.76
AGT0224,Vijay More,4,06-01-2021,RGN010,1.9,Hindi|Telugu|English,ULIP,0.182,46974,0.54,0.6,0.18,0.98
AGT0225,Aditya Srivastava,3,27-07-2016,RGN005,1.4,English,ULIP,0.124,42178,0.88,0.53,0.17,0.76
AGT0226,Vijay Desai,3,26-10-2011,RGN006,1.6,Hindi|Telugu|English,Endowment,0.137,41853,0.73,0.37,0.36,0.73
AGT0227,Harsha Hegde,20,15-07-2005,RGN013,3.7,Hindi|English,Endowment,0.402,86718,0.92,0.1,0.31,0.87
AGT0228,Kritika Patel,4,14-01-2016,RGN048,2.5,Tamil|English,Mixed,0.208,38878,0.79,0.15,0.42,0.76
AGT0229,Anjali Rajan,18,10-01-2018,RGN034,3.3,Tamil|Telugu,Mixed,0.417,75391,0.44,0.41,0.22,0.96
AGT0230,Ramesh Kumar,7,19-09-2020,RGN009,2.2,Oriya|Hindi,WholLife,0.272,47438,0.53,0.62,0.1,0.8
AGT0231,Arjun Hegde,12,13-02-2014,RGN050,2.8,Kannada|English,Endowment,0.275,61145,0.65,0.35,0.39,0.77
AGT0232,Manoj Joshi,5,19-03-2024,RGN006,1.7,Kannada|English,Mixed,0.142,48695,0.93,0.32,0.07,0.91
AGT0233,Sanjay Naik,7,22-02-2015,RGN020,2.1,English,ULIP,0.25,55001,0.46,0.54,0.1,0.99
AGT0234,Swati Jadhav,5,08-05-2013,RGN004,2.5,Telugu|English,Endowment,0.159,41563,0.72,0.24,0.38,0.99
AGT0235,Ramesh Tiwari,2,02-01-2024,RGN002,1.4,English,Mixed,0.177,27506,0.43,0.61,0.22,0.78
AGT0236,Kavya Chakraborty,10,14-03-2009,RGN047,2.6,Tamil|English,Mixed,0.217,53517,0.42,0.44,0.15,0.74
AGT0237,Aryan Tripathi,3,04-08-2013,RGN019,1.6,Kannada|English,Mixed,0.101,33583,0.75,0.54,0.37,0.96
AGT0238,Rekha Kumar,1,08-09-2017,RGN025,1.5,Tamil|English,Mixed,0.143,28636,0.41,0.43,0.06,0.82
AGT0239,Harsha Mehta,7,06-02-2018,RGN050,1.9,Kannada|English,Mixed,0.208,53563,0.55,0.55,0.42,0.94
AGT0240,Mohit Shah,2,17-09-2013,RGN004,1.4,Hindi|Telugu|English,Mixed,0.181,39064,0.84,0.48,0.42,0.98
AGT0241,Ramesh Balaji,20,23-03-2009,RGN002,3.9,Tamil|English,Mixed,0.447,89225,0.67,0.15,0.14,0.82
AGT0242,Aryan Tiwari,20,02-02-2023,RGN015,4.1,Hindi|Telugu|English,WholLife,0.486,83300,0.43,0.18,0.33,0.61
AGT0243,Shweta Kulkarni,18,20-10-2020,RGN010,3.6,Telugu|English,WholLife,0.458,80120,0.59,0.28,0.44,0.95
AGT0244,Kritika Naik,4,11-11-2020,RGN047,2.2,Hindi|Telugu|English,Mixed,0.175,34854,0.52,0.42,0.12,0.94
AGT0245,Nikhil Shetty,1,06-11-2017,RGN020,1.2,Hindi|Telugu|English,Endowment,0.138,34501,0.91,0.63,0.14,0.81
AGT0246,Manoj Mehta,18,12-10-2012,RGN037,3.8,Telugu|English,WholLife,0.395,77899,0.85,0.47,0.34,0.86
AGT0247,Vishal Iyer,4,04-10-2010,RGN022,2.2,Hindi|English,Endowment,0.179,37742,0.61,0.5,0.44,0.8
AGT0248,Vishal Shetty,20,03-10-2015,RGN027,4.1,Kannada|English,Mixed,0.388,93579,0.49,0.14,0.39,0.83
AGT0249,Deepa Reddy,20,03-06-2013,RGN019,3.9,Telugu|English,ULIP,0.357,82787,0.59,0.64,0.41,0.56
AGT0250,Akash Iyer,15,10-07-2008,RGN046,3.1,Kannada|English,Endowment,0.336,72113,0.63,0.4,0.42,0.71
AGT0251,Sanjay Balaji,3,28-10-2017,RGN035,1.5,Hindi|Telugu|English,Endowment,0.105,35437,0.4,0.15,0.38,0.8
AGT0252,Ananya Subramanian,4,19-07-2011,RGN041,2.3,Oriya|Hindi,ULIP,0.131,42456,0.83,0.36,0.41,0.78
AGT0253,Deepak Menon,15,15-04-2013,RGN017,2.8,English,Endowment,0.312,71249,0.66,0.22,0.16,0.87
AGT0254,Sandeep Tripathi,3,16-02-2023,RGN004,2.3,Kannada|English,ULIP,0.114,34632,0.7,0.56,0.38,0.91
AGT0255,Lakshmi Nair,2,07-09-2015,RGN027,1.6,Hindi|English,Mixed,0.137,29860,0.68,0.6,0.37,0.91
AGT0256,Yash Kapoor,5,02-10-2009,RGN044,1.7,Tamil|Telugu,Mixed,0.142,37738,0.44,0.48,0.13,0.77
AGT0257,Amrita Nair,18,09-02-2023,RGN041,3.5,Tamil|Telugu,WholLife,0.411,88977,0.7,0.57,0.26,0.88
AGT0258,Bhavna Joshi,10,19-04-2014,RGN001,2.8,Telugu|English,Mixed,0.306,51843,0.91,0.41,0.09,0.89
AGT0259,Santosh Patil,7,22-11-2015,RGN019,2.3,Tamil|English,Mixed,0.181,51728,0.55,0.18,0.29,0.96
AGT0260,Rahul Chakraborty,1,23-09-2021,RGN045,2,Hindi|English,WholLife,0.134,23807,0.59,0.54,0.17,0.83
AGT0261,Vinod Kumar,7,09-12-2014,RGN032,2.1,Tamil|Telugu,Endowment,0.168,53185,0.73,0.15,0.23,0.91
AGT0262,Deepa Reddy,20,02-10-2022,RGN027,3.7,Tamil|Telugu,WholLife,0.432,88442,0.47,0.57,0.4,0.93
AGT0263,Priya Patel,2,28-09-2005,RGN002,2.2,Kannada|English,Endowment,0.18,30087,0.55,0.55,0.25,0.96
AGT0264,Deepak Subramanian,5,03-01-2015,RGN041,2.2,Hindi|Telugu|English,Endowment,0.162,44732,0.59,0.56,0.15,0.91
AGT0265,Kritika Malhotra,15,29-06-2022,RGN045,3.7,Kannada|English,ULIP,0.291,74375,0.77,0.25,0.21,0.74
AGT0266,Deepak Patil,12,10-07-2019,RGN002,3.2,Kannada|English,ULIP,0.305,58167,0.54,0.54,0.17,0.98
AGT0267,Gaurav Krishnan,10,27-08-2010,RGN046,2.5,Tamil|Telugu,Mixed,0.285,57520,0.72,0.1,0.45,0.84
AGT0268,Amrita Tiwari,10,22-10-2015,RGN024,3.2,Hindi|Telugu|English,WholLife,0.23,51771,0.87,0.24,0.33,0.88
AGT0269,Yash Patil,3,25-03-2024,RGN042,1.8,Hindi|Telugu|English,Endowment,0.185,42196,0.77,0.5,0.31,0.77
AGT0270,Santosh Kapoor,3,18-11-2020,RGN019,1.7,Kannada|English,Mixed,0.169,38552,0.78,0.45,0.24,0.84
AGT0271,Deepak Mishra,12,10-07-2017,RGN043,2.5,Tamil|English,Endowment,0.314,70360,0.81,0.5,0.27,0.81
AGT0272,Geeta Pandey,15,10-09-2021,RGN012,3.2,Hindi|Telugu|English,ULIP,0.327,68659,0.6,0.42,0.24,0.96
AGT0273,Rahul Kapoor,15,07-08-2006,RGN008,3.3,Tamil|Telugu,Mixed,0.366,75168,0.69,0.33,0.4,0.96
AGT0274,Bhavna Kumar,18,07-04-2015,RGN010,4,Tamil|English,Mixed,0.461,88628,0.83,0.37,0.3,0.78
AGT0275,Deepa Shetty,5,08-05-2022,RGN012,2.4,English,Mixed,0.168,47471,0.83,0.53,0.1,0.75
AGT0276,Divya Chaudhary,5,21-12-2016,RGN028,2.6,Hindi|Telugu|English,Mixed,0.163,35618,0.82,0.39,0.06,0.83
AGT0277,Rekha Gowda,12,09-08-2013,RGN001,2.7,Telugu|English,WholLife,0.287,57682,0.85,0.26,0.17,0.79
AGT0278,Sunil Balaji,7,08-09-2012,RGN047,2.2,Kannada|English,Mixed,0.244,43192,0.49,0.6,0.37,0.87
AGT0279,Rekha Mehta,10,24-03-2018,RGN002,2.3,Hindi|English,Endowment,0.243,50359,0.61,0.45,0.36,0.92
AGT0280,Tanvi Rao,12,31-01-2006,RGN040,2.9,Tamil|Telugu,ULIP,0.295,56323,0.47,0.24,0.33,0.72
AGT0281,Rohit Chakraborty,18,11-11-2019,RGN014,3.8,Tamil|English,WholLife,0.398,75654,0.63,0.59,0.25,0.89
AGT0282,Vinod Das,3,25-06-2009,RGN040,2.2,Kannada|English,ULIP,0.145,38977,0.6,0.33,0.11,0.76
AGT0283,Suresh Nair,4,15-04-2005,RGN036,2.4,English,Mixed,0.143,32044,0.48,0.15,0.25,0.78
AGT0284,Priya Patel,1,04-12-2010,RGN047,1.2,Tamil|English,Endowment,0.111,27850,0.88,0.57,0.19,0.97
AGT0285,Aarav Singh,7,11-01-2006,RGN044,2.5,Tamil|English,ULIP,0.24,55586,0.58,0.59,0.43,0.92
AGT0286,Kritika Krishnan,1,23-12-2013,RGN018,1.4,Tamil|Telugu,WholLife,0.083,29566,0.78,0.36,0.22,0.75
AGT0287,Anjali Tripathi,5,29-07-2008,RGN011,2.5,English,ULIP,0.245,48833,0.84,0.47,0.12,0.91
AGT0288,Anil Tripathi,5,15-07-2007,RGN025,2,Telugu|English,Endowment,0.173,42997,0.54,0.27,0.33,0.89
AGT0289,Rohit Venkatesh,3,03-08-2012,RGN044,2,Telugu|English,Mixed,0.117,39974,0.64,0.5,0.24,0.92
AGT0290,Aarav More,7,24-03-2006,RGN043,2.8,English,Mixed,0.244,51041,0.87,0.58,0.08,0.83
AGT0291,Sneha Saxena,1,07-05-2017,RGN032,1.5,Kannada|English,WholLife,0.07,26648,0.44,0.34,0.28,0.82
AGT0292,Aditi Iyer,1,28-08-2019,RGN006,1.5,Hindi|English,ULIP,0.179,35209,0.71,0.1,0.09,0.85
AGT0293,Priya Tiwari,15,23-01-2020,RGN039,3.2,Hindi|English,Mixed,0.331,75724,0.85,0.56,0.18,0.9
AGT0294,Vikram Kulkarni,4,10-03-2007,RGN050,1.7,Hindi|Telugu|English,WholLife,0.182,33868,0.6,0.45,0.37,0.85
AGT0295,Zara Tripathi,2,25-02-2008,RGN036,1.3,Kannada|English,ULIP,0.17,34067,0.5,0.61,0.21,0.91
AGT0296,Poonam Jadhav,5,16-01-2006,RGN030,2.4,Telugu|English,WholLife,0.136,41790,0.82,0.35,0.31,0.78
AGT0297,Ramesh Gowda,12,16-09-2014,RGN033,2.9,Tamil|English,Mixed,0.304,65064,0.78,0.2,0.38,0.86
AGT0298,Sarika Bose,2,23-05-2014,RGN007,1.5,Hindi|Telugu|English,WholLife,0.143,32302,0.93,0.35,0.1,0.89
AGT0299,Geeta Kumar,7,15-04-2017,RGN027,2.6,Kannada|English,Mixed,0.185,52493,0.51,0.44,0.17,0.96
AGT0300,Manoj Rao,1,15-04-2019,RGN023,1.9,English,Endowment,0.115,34375,0.72,0.62,0.33,0.76
